trip_id,start_time,start_date,schedule_relationship,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_label,speed_kmph
297504815,21:34:00,2025-06-22,0,128338,0.0,51.64152526855469,4.609530925750732,1.0,1,2025-06-22 19:30:39,,8985,0.010560656607819264
297504815,21:34:00,2025-06-22,0,128338,0.0,51.6425895690918,4.603372097015381,11.0,2,2025-06-22 19:44:46,3150607,8985,0.0005208470289033542
297504815,21:34:00,2025-06-22,0,128338,0.0,51.595943450927734,4.718916893005371,22.0,2,2025-06-22 19:58:46,3150414,8985,0.011327531644888728
297516721,20:29:00,2025-06-22,0,130268,1.0,51.52101516723633,5.49187707901001,11.0,2,2025-06-22 18:44:13,3159230,8988,0.0
297516721,20:29:00,2025-06-22,0,130268,1.0,51.52101516723633,5.49187707901001,11.0,2,2025-06-22 18:44:13,3159230,8988,0.0
297516721,20:29:00,2025-06-22,0,130268,1.0,51.44630432128906,5.480284214019775,17.0,2,2025-06-22 18:58:31,3159226,8988,0.00972747479449232
297516722,21:05:00,2025-06-22,0,130268,0.0,51.492427825927734,5.495944023132324,3.0,2,2025-06-22 19:13:56,3159228,8988,0.005667198540105263
297516722,21:05:00,2025-06-22,0,130268,0.0,51.57615661621094,5.462431907653809,18.0,1,2025-06-22 19:28:55,,8988,0.010672354532810712
297473907,21:04:00,2025-06-22,0,127917,1.0,51.193260192871094,5.993776798248291,1.0,1,2025-06-22 18:43:40,,9001,0.0
297473907,21:04:00,2025-06-22,0,127917,1.0,51.193260192871094,5.993776798248291,1.0,1,2025-06-22 18:43:40,,9001,0.0
297473907,21:04:00,2025-06-22,0,127917,1.0,51.193260192871094,5.993776798248291,1.0,1,2025-06-22 18:58:40,,9001,0.0
297473907,21:04:00,2025-06-22,0,127917,1.0,51.16032409667969,5.954815864562988,6.0,2,2025-06-22 19:14:05,3084355,9001,0.004929210956980703
297473907,21:04:00,2025-06-22,0,127917,1.0,51.13068771362305,5.856604099273682,21.0,2,2025-06-22 19:31:01,3084599,9001,0.007482664017035348
297473910,21:49:00,2025-06-22,0,127917,0.0,51.09983825683594,5.8781609535217285,1.0,1,2025-06-22 19:44:55,,9001,0.004491405004886065
297473910,21:49:00,2025-06-22,0,127917,0.0,51.111854553222656,5.833835124969482,6.0,2,2025-06-22 19:58:35,3084594,9001,0.0041107885815543765
297474293,20:34:00,2025-06-22,0,127925,1.0,51.3560676574707,6.1541337966918945,5.0,2,2025-06-22 18:44:18,3084895,9003,0.0
297474293,20:34:00,2025-06-22,0,127925,1.0,51.3560676574707,6.1541337966918945,5.0,2,2025-06-22 18:44:18,3084895,9003,0.0
